# ABIS-Seq immune-cell RNA-seq signature matrix (Table S5, ABIS-Seq sheet).
# Source: Monaco G, Lee B, Xu W, et al. "RNA-Seq Signatures Normalized by mRNA
#   Abundance Allow Absolute Deconvolution of Human Immune Cell Types."
#   Cell Reports 26(6):1627-1640.e7, 2019. doi:10.1016/j.celrep.2019.01.041; PMID:30726743.
# Provenance: PMC6367568 supplementary file mmc6.xlsx (Table S5), sheet 'ABIS-Seq'.
#   Retrieved via Europe PMC supplementaryFiles endpoint:
#   https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6367568/supplementaryFiles
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) - the Cell Reports
#   article is open access: "(c) 2019 The Authors. This is an open access article under
#   the CC BY license (http://creativecommons.org/licenses/by/4.0/)." Attribution: Monaco 2019.
# Dimensions: 1296 genes x 17 immune cell types. Values are mRNA-abundance-normalised TPM.
# Format: tab-separated; first non-comment line = header (gene-symbol col + 17 cell-type cols).
Gene symbol	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
NAIP	271.61049334561898	16.068134640651799	10.4427043516013	11.2533326515364	12.4347493928683	20.557099522910899	15.837530330035699	7.0456803477949697	17.1701584142812	67.304115151150498	13.7533939221646	14.545248396495399	40.087244956277999	21.548039247006098	511.87511909018798	21.873314658767502	37.1042498843549
SGMS2	30.655161881799099	0.28299070908003199	0.18226340340083699	0	0.311054422249607	0.84778617104294396	0.17339128271637999	0	0	0.30474289265406401	0.15404797258738001	0.13034893822648799	8.0723727216217291	0.94536107097812805	59.566749405756497	0.20570600787023799	0.95047382806031
CD14	2719.7591238372001	0.78157732868852203	0.17400472797361799	0.94502880114641596	0.51167663964396504	64.815213332779607	1.16195849546603	0.45569733864922302	0.505972298731168	208.435828063033	0.40408617322836099	0.66741536988997696	223.44577897541501	53.260593450781499	851.27336207708004	0.66677777223783297	81.9020416632776
ANO5	3.2860813353240199	0	0	0	0	0.14114146069175401	0	0	0	0	0	7.5235543022876994E-2	0.430896886365632	0.10426059498745401	7.5364590971836103	2.3748270053499498E-2	0.27723562287627901
F13A1	317.45246835675403	0.77663610779197101	1.4193309946246399E-3	0	0	18.4027345475569	3.6815154547593001E-2	0	0.31072249106446898	2.7401019806268501	0.171928450087624	1.3029586441701	19.691413917091801	9.0887790967443909	829.32419019782503	54.599570155798503	10.6551473565601
TCN2	68.351893242161495	0.175807141688544	0.45578905631261202	0.153355820718898	0	0.59127390213244302	1.00389143434755	0.13962189961778601	0	0.12675878679497701	0	0	59.666124099757198	3.2338422641790898	48.948951035084697	7.9267755667603899	5.5823552582720399
TMEM176A	47.969154854756098	0.33145895441710299	0.18561690006658499	0.42103731531564698	6.2723922939661503E-2	2.8122292767823298	0.272191944426249	0.15087512691904301	0.30600552311381701	0.91618478844034601	0.16899807632495401	0.56346118816782798	26.557602620950799	1.15095071178002	7.4432646896102099	0.65573322214030605	0.379044263137296
RP11-903H12.5	34.5599179180196	0	0.59016123939934095	0	0	0.96516832789992701	0.914213073956473	0	0	0	0	0	0.68907296389543904	4.2042342959547598	51.001443569172302	4.4608927218361902	14.603509491395
EREG	315.88594706080602	1.4070314347805299	0.86133657407259701	1.32380862647605	0.919563201209467	9.0566591459100092	1.3653702056036401	0.67643361611962105	1.0977415555652299	1.65945325689641	0.68742714190122201	7.35514901589438	62.060179854796203	5.2492610008747702	607.67049232358499	1.17538237287466	13.475026599288899
LINC00968	18.820831512443799	0	0	0	0	0.284681794042004	0	0	0	0.85514315270372798	0	0	10.081056756584999	0.45749992770589398	11.765209490867599	0.22407102795693201	0
RP11-162P23.2	68.782021717158798	0	0	0	0	1.63259297648867	2.3178546998175099E-2	0	0.14660530897410001	6.8724667843483604E-3	0	0.21211503371003401	17.375063790856402	0.21170657244838301	139.33541032146701	30.8353839061662	0
RIN2	103.244988910331	0.16816852038243599	0.104785715792988	0.136831965600132	9.6481663025275E-2	2.5532860201077598	0.141864571606203	7.2956323076138196E-2	0.19438169641678801	0.55558927848746997	0.11873876144988001	0.13128405317179401	80.619660580212994	2.9572846173631202	136.01227794123099	3.4206862456775999	1.42817153047476
TMEM176B	201.040375646157	0.102282178434862	3.5671761012676398E-2	0.13265997816455699	6.7653322774971394E-2	6.1569013022009296	0.106638446982878	3.6120344690234903E-2	5.4959850946865403E-2	1.00237303072336	0	0.38069481768054098	147.159390135205	4.3240357512812801	37.391663755090001	8.8555341616220806E-2	6.5037735521166304
CD36	1392.17188582839	2.1235559169610601	0.28336153355381699	0.34569810951457602	0.31799192408277399	33.513701992852198	0.50180322779867403	0.28517464437585699	0.26678081282403798	1.5435486940343	0.20249188090244299	0.41443314832600903	172.18972742760101	26.149644699118699	1391.4834013544701	595.74182773971199	49.160965498431302
SHROOM1	13.682543378318201	7.7024079056631695E-2	9.1454132032721097E-2	9.8917167448573706E-2	8.3616884030709202E-2	0.176822750389378	0.15994888450789799	5.2171795179167701E-2	0.17787016355980401	0.19650937046105901	0.108593202318003	0.47056700857148798	3.2997321542104898	0.60925135308307399	3.1939029249176198	2.43490299247556E-2	4.24450694903698
SMARCD3	51.853185782869097	2.1185013270016699	2.8269845903417101	5.1547837177132099	6.2485977838901698	1.9889254907153899	4.5781487396136198	4.6232191683403903	2.1378669154944099	4.6342700523910496	1.11973966364285	2.0597642133486498	13.011277535929301	2.3593136911642199	54.803148523521799	6.9520369031030604	8.7947509353753492
ATP2B1-AS1	166.61836642186401	1.98787637579892	1.5185409868683	1.4529337731316201	0.94130790382476603	7.8761425922894004	3.1157487856409301	2.0989762516419099	2.3836597966465298	15.9083063996991	1.2525385554908199	6.6821729346578298	115.460424188445	6.3177419237059702	152.493122405431	0.70535024978931804	10.8531597668164
SIGLEC1	55.753164489021202	0.469166836076783	1.9097976176648301E-4	0	0	0.94978070803440895	0	0	0	0.65618051999446803	0	0	9.3600455026410803	0.72426405287871498	108.35293964631801	7.3147109857923196	0.36765852624227902
TMTC2	25.881349154659102	0.291558472159334	0.62805997168524597	1.5432765750711801	0.41874693675112901	1.3961801246538199	1.71209760444165	2.0710807236592501	1.1711585711502699	0.65065104486244396	0.37156826993584102	0.71079155219045598	11.105270748806999	1.56639074973898	34.154267388146003	0.36667519082941502	8.6020840395514497
AP003774.6	19.622853266698701	1.3590201215328299	0.85305811215213401	1.3928615598782501	0.99932645936581699	2.77092702321176	1.2616612794084501	0.91964152829262102	1.36478635100643	1.6285774745075801	1.00166526925017	1.74990155434031	4.0681843230819403	1.5579110157257501	53.539030470927599	2.4925374150612001	2.6589549105725898
ZMAT4	0	31.405506158200701	4.2763124341301403E-2	0.15205130094581201	0.27656001793073598	0.45255460996446401	0.15540727628024101	0	0.63565645669289395	0	0.67511160701583295	0.20404810151352501	1.1729806750178799	8.4050256774398202E-2	1.8957212103246801	0.212255441774649	1.1676351791830299
RNF165	0.60133381463258595	7.2277040756575204	0.25515970899964602	0.191610986496415	0.21739442054984401	0.16513153682985601	0.42170547696975702	0.69300685468426504	0.36038555814698098	0.29626998978668401	0.50762011679572505	0.31449731754210702	0.73638481589986204	0.21205453976767799	1.0572499953510299	2.6995854201756302	0.537924212745712
COL13A1	0	7.5750429165578899	0	0	0	0	0	0	0.63479797359546197	1.02762396707923	0	0	0	0	0	0	0
LINGO2	0	8.8925862665654094	8.9144026643412394E-2	0	0	0	0	0	0.34217509380855998	0	1.47332645546154	0	0.42388709832202298	0	0	0	0
LGALS9B	1.10285410425556	62.7621510875016	1.96664402243882	0	0	1.09304787298269	1.0264162920520901	0.28122345096915502	1.5366778225786699	1.00203107355753	5.6053558420316003	1.21225825374822	2.80130538717248	1.1116002323918299	6.6562351065645897	1.4652788082496799	2.2751444457568102
KIR2DP1	0	18.898065153839401	0.99085910674502298	0	0	0	1.9127303780248898E-2	0	2.0513049380992801	3.5297362807617298E-2	4.3089839763577702	0	0.17317686685832001	0.26878729969957299	0	0	0
